index,Stock,Category,Size,Color
0,5.0,AN : LEGGINGS,L,Red
1,5.0,AN : LEGGINGS,M,Red
2,3.0,AN : LEGGINGS,S,Red
3,6.0,AN : LEGGINGS,XL,Red
4,3.0,AN : LEGGINGS,XXL,Red
5,11.0,AN : LEGGINGS,L,Orange
6,3.0,AN : LEGGINGS,M,Orange
7,16.0,AN : LEGGINGS,S,Orange
8,8.0,AN : LEGGINGS,XL,Orange
9,14.0,AN : LEGGINGS,XXL,Orange
10,1.0,AN : LEGGINGS,L,Maroon
11,2.0,AN : LEGGINGS,M,Maroon
12,2.0,AN : LEGGINGS,S,Maroon
13,2.0,AN : LEGGINGS,XL,Maroon
14,3.0,AN : LEGGINGS,XXL,Maroon
15,10.0,AN : LEGGINGS,L,Purple
16,4.0,AN : LEGGINGS,M,Purple
17,6.0,AN : LEGGINGS,S,Purple
18,3.0,AN : LEGGINGS,XL,Purple
19,5.0,AN : LEGGINGS,XXL,Purple
20,9.0,AN : LEGGINGS,L,Yellow
21,7.0,AN : LEGGINGS,M,Yellow
22,6.0,AN : LEGGINGS,S,Yellow
23,7.0,AN : LEGGINGS,XL,Yellow
24,13.0,AN : LEGGINGS,XXL,Yellow
25,10.0,AN : LEGGINGS,L,Green
26,13.0,AN : LEGGINGS,M,Green
27,13.0,AN : LEGGINGS,S,Green
28,15.0,AN : LEGGINGS,XL,Green
29,13.0,AN : LEGGINGS,XXL,Green
30,4.0,AN : LEGGINGS,L,Pink
31,2.0,AN : LEGGINGS,M,Pink
32,4.0,AN : LEGGINGS,S,Pink
33,1.0,AN : LEGGINGS,XL,Pink
34,2.0,AN : LEGGINGS,XXL,Pink
35,4.0,AN : LEGGINGS,L,Beige
36,7.0,AN : LEGGINGS,M,Beige
37,4.0,AN : LEGGINGS,S,Beige
38,3.0,AN : LEGGINGS,XL,Beige
39,3.0,AN : LEGGINGS,XXL,Beige
40,5.0,AN : LEGGINGS,L,Navy Blue
41,3.0,AN : LEGGINGS,M,Navy Blue
42,4.0,AN : LEGGINGS,S,Navy Blue
43,2.0,AN : LEGGINGS,XL,Navy Blue
44,2.0,AN : LEGGINGS,XXL,Navy Blue
45,2.0,AN : LEGGINGS,L,Black
46,1.0,AN : LEGGINGS,M,Black
47,7.0,AN : LEGGINGS,S,Black
48,3.0,AN : LEGGINGS,XL,Black
49,3.0,AN : LEGGINGS,XXL,Black
50,11.0,AN : LEGGINGS,L,White
51,8.0,AN : LEGGINGS,M,White
52,13.0,AN : LEGGINGS,S,White
53,21.0,AN : LEGGINGS,XL,White
54,12.0,AN : LEGGINGS,XXL,White
55,2.0,AN : LEGGINGS,L,Brown
56,7.0,AN : LEGGINGS,M,Brown
57,8.0,AN : LEGGINGS,S,Brown
58,6.0,AN : LEGGINGS,XL,Brown
59,8.0,AN : LEGGINGS,XXL,Brown
60,33.0,BLOUSE,FREE,Pink
61,117.0,BLOUSE,FREE,Black
62,38.0,BLOUSE,FREE,Beige
63,16.0,BLOUSE,FREE,Red
64,112.0,BLOUSE,FREE,Black
65,0.0,BLOUSE,FREE,Black
66,56.0,BLOUSE,FREE,Pink
67,35.0,BLOUSE,FREE,Red
68,0.0,BLOUSE,FREE,Red
69,575.0,BLOUSE,FREE,Black
70,75.0,BLOUSE,FREE,Beige
71,22.0,BLOUSE,FREE,Pink
72,399.0,BLOUSE,FREE,Black
73,0.0,BLOUSE,FREE,Black
74,73.0,BLOUSE,FREE,Beige
75,14.0,BLOUSE,FREE,Pink
76,24.0,BLOUSE,FREE,Red
77,208.0,BLOUSE,FREE,Black
78,39.0,BLOUSE,FREE,Beige
79,76.0,BLOUSE,FREE,Pink
80,0.0,BLOUSE,FREE,Pink
81,38.0,BLOUSE,FREE,Red
82,628.0,BLOUSE,FREE,Black
83,0.0,BLOUSE,FREE,Black
84,0.0,BLOUSE,FREE,Black
85,1.0,BLOUSE,FREE,Black
86,0.0,BLOUSE,FREE,Black
87,106.0,BLOUSE,FREE,Beige
88,0.0,BLOUSE,FREE,Beige
89,0.0,BLOUSE,FREE,Beige
90,50.0,BLOUSE,FREE,Pink
91,103.0,BLOUSE,FREE,Red
92,199.0,BLOUSE,FREE,Black
93,98.0,BLOUSE,FREE,Beige
94,201.0,BLOUSE,FREE,Black
95,0.0,BLOUSE,FREE,Black
96,10.0,BLOUSE,FREE,Beige
97,8.0,BLOUSE,FREE,Pink
98,31.0,BLOUSE,FREE,Gold
99,448.0,BLOUSE,FREE,Gold
100,0.0,BLOUSE,FREE,Gold
101,45.0,BLOUSE,FREE,Gold
102,0.0,BLOUSE,FREE,Gold
103,31.0,BLOUSE,FREE,Pink
104,30.0,BLOUSE,FREE,Red
105,23.0,BLOUSE,FREE,Red
106,63.0,BLOUSE,FREE,Red
107,42.0,BLOUSE,FREE,Black
108,20.0,BLOUSE,FREE,Gold
109,68.0,BLOUSE,FREE,Gold
110,23.0,BLOUSE,FREE,Gold
111,114.0,BLOUSE,FREE,Black
112,20.0,BLOUSE,FREE,Beige
113,0.0,BLOUSE,FREE,Beige
114,49.0,BLOUSE,FREE,Red
115,488.0,BLOUSE,FREE,Black
116,0.0,BLOUSE,FREE,Black
117,48.0,BLOUSE,FREE,Black
118,17.0,BLOUSE,FREE,Red
119,7.0,BLOUSE,FREE,Chiku
120,21.0,BLOUSE,FREE,Black
121,8.0,BLOUSE,FREE,Red
122,18.0,BLOUSE,FREE,Black
123,12.0,BLOUSE,FREE,Red
124,12.0,BLOUSE,FREE,Black
125,30.0,BLOUSE,FREE,Pink
126,9.0,BLOUSE,FREE,Beige
127,16.0,BLOUSE,FREE,Gold
128,11.0,BLOUSE,FREE,Gold
129,24.0,BLOUSE,L,Orange
130,15.0,BLOUSE,M,Orange
131,12.0,BLOUSE,S,Orange
132,13.0,BLOUSE,XL,Orange
133,6.0,BLOUSE,XS,Orange
134,11.0,BLOUSE,XXL,Orange
136,4.0,BLOUSE,L,Blue
137,5.0,BLOUSE,M,Blue
138,2.0,BLOUSE,S,Blue
139,5.0,BLOUSE,XL,Blue
140,8.0,BLOUSE,XS,Blue
141,3.0,BLOUSE,XXL,Blue
143,48.0,BLOUSE,L,Multicolor
144,89.0,BLOUSE,M,Multicolor
145,11.0,BLOUSE,S,Multicolor
146,5.0,BLOUSE,XL,Multicolor
147,18.0,BLOUSE,XS,Multicolor
148,86.0,BLOUSE,XXL,Multicolor
149,4.0,BLOUSE,L,Multicolor
150,4.0,BLOUSE,M,Multicolor
151,3.0,BLOUSE,S,Multicolor
152,8.0,BLOUSE,XL,Multicolor
153,4.0,BLOUSE,XS,Multicolor
154,7.0,BLOUSE,XXL,Multicolor
155,30.0,BLOUSE,L,Peach
156,44.0,BLOUSE,M,Peach
157,11.0,BLOUSE,S,Peach
158,16.0,BLOUSE,XL,Peach
159,29.0,BLOUSE,XS,Peach
160,19.0,BLOUSE,XXL,Peach
161,4.0,BLOUSE,L,Multicolor
162,4.0,BLOUSE,M,Multicolor
163,7.0,BLOUSE,S,Multicolor
164,3.0,BLOUSE,XL,Multicolor
165,7.0,BLOUSE,XS,Multicolor
166,3.0,BLOUSE,XXL,Multicolor
167,20.0,BLOUSE,L,Blue
168,22.0,BLOUSE,M,Blue
169,13.0,BLOUSE,S,Blue
170,27.0,BLOUSE,XL,Blue
171,17.0,BLOUSE,XS,Blue
172,25.0,BLOUSE,XXL,Blue
173,2.0,BLOUSE,L,Grey
174,2.0,BLOUSE,M,Grey
175,11.0,BLOUSE,S,Grey
176,4.0,BLOUSE,XL,Grey
177,4.0,BLOUSE,XS,Grey
178,3.0,BLOUSE,XXL,Grey
179,51.0,BLOUSE,L,Multicolor
180,34.0,BLOUSE,M,Multicolor
181,51.0,BLOUSE,S,Multicolor
182,26.0,BLOUSE,XL,Multicolor
183,59.0,BLOUSE,XS,Multicolor
184,32.0,BLOUSE,XXL,Multicolor
185,2.0,BLOUSE,L,Beige
186,2.0,BLOUSE,M,Beige
187,8.0,BLOUSE,S,Beige
188,2.0,BLOUSE,XL,Beige
189,8.0,BLOUSE,XS,Beige
190,2.0,BLOUSE,XXL,Beige
191,42.0,BLOUSE,L,Maroon
192,25.0,BLOUSE,M,Maroon
193,39.0,BLOUSE,S,Maroon
194,11.0,BLOUSE,XL,Maroon
195,9.0,BLOUSE,XS,Maroon
196,35.0,BLOUSE,XXL,Maroon
199,25.0,BLOUSE,L,Brown
200,31.0,BLOUSE,M,Brown
201,39.0,BLOUSE,S,Brown
202,34.0,BLOUSE,XL,Brown
203,31.0,BLOUSE,XS,Brown
204,27.0,BLOUSE,XXL,Brown
205,5.0,BLOUSE,L,Black
206,6.0,BLOUSE,M,Black
207,9.0,BLOUSE,S,Black
208,6.0,BLOUSE,XL,Black
209,12.0,BLOUSE,XS,Black
210,4.0,BLOUSE,XXL,Black
211,4.0,BLOUSE,L,Green
212,5.0,BLOUSE,M,Green
213,6.0,BLOUSE,S,Green
214,8.0,BLOUSE,XL,Green
215,9.0,BLOUSE,XS,Green
216,5.0,BLOUSE,XXL,Green
217,2.0,BLOUSE,L,Grey
218,3.0,BLOUSE,M,Grey
219,8.0,BLOUSE,S,Grey
220,4.0,BLOUSE,XL,Grey
221,6.0,BLOUSE,XS,Grey
222,2.0,BLOUSE,XXL,Grey
224,7.0,BLOUSE,L,Navy Blue
225,5.0,BLOUSE,M,Navy Blue
226,16.0,BLOUSE,S,Navy Blue
227,19.0,BLOUSE,XL,Navy Blue
228,16.0,BLOUSE,XS,Navy Blue
229,6.0,BLOUSE,XXL,Navy Blue
230,7.0,BLOUSE,L,Maroon
231,3.0,BLOUSE,M,Maroon
232,29.0,BLOUSE,S,Maroon
233,8.0,BLOUSE,XL,Maroon
234,27.0,BLOUSE,XS,Maroon
235,4.0,BLOUSE,XXL,Maroon
236,32.0,BLOUSE,L,Black
237,49.0,BLOUSE,M,Black
238,14.0,BLOUSE,S,Black
239,20.0,BLOUSE,XL,Black
240,29.0,BLOUSE,XS,Black
241,26.0,BLOUSE,XXL,Black
242,2.0,BLOUSE,L,White
243,2.0,BLOUSE,M,White
244,15.0,BLOUSE,S,White
245,3.0,BLOUSE,XL,White
246,6.0,BLOUSE,XS,White
247,4.0,BLOUSE,XXL,White
249,23.0,BLOUSE,L,Gold
250,37.0,BLOUSE,M,Gold
251,34.0,BLOUSE,S,Gold
252,17.0,BLOUSE,XL,Gold
253,15.0,BLOUSE,XS,Gold
254,9.0,BLOUSE,XXL,Gold
255,8.0,BLOUSE,L,Red
256,7.0,BLOUSE,M,Red
257,18.0,BLOUSE,S,Red
258,8.0,BLOUSE,XL,Red
259,16.0,BLOUSE,XS,Red
260,5.0,BLOUSE,XXL,Red
261,9.0,BLOUSE,L,Black
262,6.0,BLOUSE,M,Black
263,11.0,BLOUSE,S,Black
264,4.0,BLOUSE,XL,Black
265,13.0,BLOUSE,XS,Black
266,2.0,BLOUSE,XXL,Black
267,4.0,BLOUSE,L,Maroon
268,3.0,BLOUSE,M,Maroon
269,11.0,BLOUSE,S,Maroon
270,8.0,BLOUSE,XL,Maroon
271,27.0,BLOUSE,XS,Maroon
272,7.0,BLOUSE,XXL,Maroon
274,2.0,BLOUSE,S,Olive
275,61.0,PANT,L,White
276,40.0,PANT,M,White
277,85.0,PANT,S,White
278,22.0,PANT,XL,White
279,158.0,PANT,XS,White
280,158.0,PANT,XXL,White
281,194.0,PANT,XXXL,White
282,32.0,PANT,L,Maroon
283,25.0,PANT,M,Maroon
284,35.0,PANT,S,Maroon
285,24.0,PANT,XL,Maroon
286,40.0,PANT,XS,Maroon
287,4.0,PANT,XXL,Maroon
288,4.0,PANT,XXXL,Maroon
289,1.0,BOTTOM,L,White
290,2.0,BOTTOM,S,White
291,3.0,BOTTOM,XL,White
292,0.0,BOTTOM,XS,White
293,2.0,BOTTOM,XXL,White
294,3.0,BOTTOM,XXXL,White
295,398.0,PANT,L,Black
296,250.0,PANT,M,Black
297,347.0,PANT,S,Black
298,75.0,PANT,XL,Black
299,88.0,PANT,XS,Black
300,21.0,PANT,XXL,Black
301,59.0,PANT,XXXL,Black
302,2.0,BOTTOM,L,Green
303,2.0,BOTTOM,M,Green
304,1.0,BOTTOM,S,Green
305,3.0,BOTTOM,XL,Green
306,3.0,BOTTOM,XS,Green
307,3.0,BOTTOM,XXL,Green
308,4.0,BOTTOM,XXXL,Green
309,2.0,BOTTOM,L,Beige
310,1.0,BOTTOM,M,Beige
311,2.0,BOTTOM,S,Beige
312,3.0,BOTTOM,XL,Beige
313,2.0,BOTTOM,XS,Beige
314,2.0,BOTTOM,XXL,Beige
315,6.0,PANT,L,Grey
316,1.0,PANT,M,Grey
317,5.0,PANT,S,Grey
318,10.0,PANT,XL,Grey
319,21.0,PANT,XS,Grey
320,6.0,PANT,XXL,Grey
321,15.0,PANT,XXXL,Grey
322,136.0,PANT,L,Navy Blue
323,63.0,PANT,M,Navy Blue
324,134.0,PANT,S,Navy Blue
325,176.0,PANT,XL,Navy Blue
326,41.0,PANT,XS,Navy Blue
327,92.0,PANT,XXL,Navy Blue
328,102.0,PANT,XXXL,Navy Blue
329,1.0,PANT,L,Red
330,6.0,PANT,M,Red
331,6.0,PANT,S,Red
332,0.0,PANT,XL,Red
333,23.0,PANT,XS,Red
334,0.0,PANT,XXL,Red
335,3.0,PANT,XXXL,Red
336,14.0,PANT,L,Green
337,14.0,PANT,M,Green
338,37.0,PANT,S,Green
339,8.0,PANT,XL,Green
340,25.0,PANT,XS,Green
341,25.0,PANT,XXL,Green
342,16.0,PANT,XXXL,Green
343,2.0,PANT,L,Beige
344,4.0,PANT,M,Beige
345,1.0,PANT,S,Beige
346,2.0,PANT,XL,Beige
347,2.0,PANT,XS,Beige
348,0.0,PANT,XXL,Beige
349,1.0,PANT,XXXL,Beige
350,0.0,PANT,L,Dark Green
351,1.0,PANT,M,Dark Green
352,8.0,PANT,S,Dark Green
353,1.0,PANT,XL,Dark Green
354,7.0,PANT,XS,Dark Green
355,1.0,PANT,XXL,Dark Green
356,5.0,PANT,XXXL,Dark Green
357,43.0,PANT,L,Brown
358,6.0,PANT,M,Brown
359,56.0,PANT,S,Brown
360,13.0,PANT,XL,Brown
361,20.0,PANT,XS,Brown
362,56.0,PANT,XXL,Brown
363,50.0,PANT,XXXL,Brown
364,1.0,PANT,L,Pink
365,1.0,PANT,M,Pink
366,2.0,PANT,S,Pink
367,1.0,PANT,XL,Pink
368,5.0,PANT,XS,Pink
369,3.0,PANT,XXL,Pink
370,1.0,PANT,XXXL,Pink
371,0.0,PANT,L,Turquoise Blue
372,1.0,PANT,M,Turquoise Blue
373,1.0,PANT,S,Turquoise Blue
374,1.0,PANT,XL,Turquoise Blue
375,5.0,PANT,XS,Turquoise Blue
376,3.0,PANT,XXL,Turquoise Blue
377,2.0,PANT,XXXL,Turquoise Blue
378,0.0,PANT,L,Mustard
379,0.0,PANT,M,Mustard
380,4.0,PANT,S,Mustard
381,1.0,PANT,XL,Mustard
382,12.0,PANT,XS,Mustard
383,3.0,PANT,XXL,Mustard
384,4.0,PANT,XXXL,Mustard
385,3.0,PALAZZO,L,Red
386,10.0,PALAZZO,M,Red
387,8.0,PALAZZO,S,Red
388,6.0,PALAZZO,XL,Red
389,33.0,PALAZZO,XS,Red
390,3.0,PALAZZO,XXL,Red
391,6.0,PALAZZO,XXXL,Red
392,2.0,PALAZZO,L,Teal
393,4.0,PALAZZO,M,Teal
394,7.0,PALAZZO,S,Teal
395,3.0,PALAZZO,XL,Teal
396,21.0,PALAZZO,XS,Teal
397,3.0,PALAZZO,XXL,Teal
398,3.0,PALAZZO,XXXL,Teal
399,3.0,PALAZZO,L,Black
400,2.0,PALAZZO,M,Black
401,6.0,PALAZZO,S,Black
402,2.0,PALAZZO,XL,Black
403,30.0,PALAZZO,XS,Black
404,3.0,PALAZZO,XXL,Black
405,1.0,PALAZZO,XXXL,Black
406,2.0,PALAZZO,L,White
407,2.0,PALAZZO,M,White
408,4.0,PALAZZO,S,White
409,2.0,PALAZZO,XL,White
410,11.0,PALAZZO,XS,White
411,2.0,PALAZZO,XXL,White
412,4.0,PALAZZO,XXXL,White
413,2.0,PALAZZO,L,Brown
414,4.0,PALAZZO,M,Brown
415,36.0,PALAZZO,S,Brown
416,3.0,PALAZZO,XL,Brown
417,35.0,PALAZZO,XS,Brown
418,4.0,PALAZZO,XXL,Brown
419,2.0,PALAZZO,XXXL,Brown
420,6.0,PALAZZO,L,Grey
421,5.0,PALAZZO,M,Grey
422,51.0,PALAZZO,S,Grey
423,7.0,PALAZZO,XL,Grey
424,50.0,PALAZZO,XS,Grey
425,7.0,PALAZZO,XXL,Grey
426,7.0,PALAZZO,XXXL,Grey
427,3.0,PALAZZO,L,Mustard
428,3.0,PALAZZO,M,Mustard
429,29.0,PALAZZO,S,Mustard
430,3.0,PALAZZO,XL,Mustard
431,55.0,PALAZZO,XS,Mustard
432,6.0,PALAZZO,XXL,Mustard
433,3.0,PALAZZO,XXXL,Mustard
434,2.0,PALAZZO,L,Khaki
435,2.0,PALAZZO,M,Khaki
436,4.0,PALAZZO,S,Khaki
437,3.0,PALAZZO,XL,Khaki
438,8.0,PALAZZO,XS,Khaki
439,3.0,PALAZZO,XXL,Khaki
440,3.0,PALAZZO,XXXL,Khaki
441,2.0,PALAZZO,L,Maroon
442,3.0,PALAZZO,M,Maroon
443,5.0,PALAZZO,S,Maroon
444,2.0,PALAZZO,XL,Maroon
445,55.0,PALAZZO,XS,Maroon
446,3.0,PALAZZO,XXL,Maroon
447,5.0,PALAZZO,XXXL,Maroon
448,4.0,PALAZZO,L,Olive Green
449,3.0,PALAZZO,M,Olive Green
450,34.0,PALAZZO,S,Olive Green
451,4.0,PALAZZO,XL,Olive Green
452,26.0,PALAZZO,XS,Olive Green
453,24.0,PALAZZO,XXL,Olive Green
454,6.0,PALAZZO,XXXL,Olive Green
455,3.0,PALAZZO,L,Navy Blue
456,10.0,PALAZZO,M,Navy Blue
457,29.0,PALAZZO,S,Navy Blue
458,3.0,PALAZZO,XL,Navy Blue
459,27.0,PALAZZO,XS,Navy Blue
460,2.0,PALAZZO,XXL,Navy Blue
461,3.0,PALAZZO,XXXL,Navy Blue
462,3.0,PALAZZO,L,Pink
463,10.0,PALAZZO,M,Pink
464,15.0,PALAZZO,S,Pink
465,6.0,PALAZZO,XL,Pink
466,32.0,PALAZZO,XS,Pink
467,11.0,PALAZZO,XXL,Pink
468,4.0,PALAZZO,XXXL,Pink
469,3.0,PALAZZO,L,Green
470,3.0,PALAZZO,M,Green
471,6.0,PALAZZO,S,Green
472,2.0,PALAZZO,XL,Green
473,51.0,PALAZZO,XS,Green
474,16.0,PALAZZO,XXL,Green
475,16.0,PALAZZO,XXXL,Green
476,19.0,SHARARA,L,TEAL BLUE 
477,22.0,SHARARA,M,TEAL BLUE 
478,29.0,SHARARA,S,TEAL BLUE 
479,25.0,SHARARA,XL,TEAL BLUE 
480,28.0,SHARARA,XXL,TEAL BLUE 
481,20.0,SHARARA,L,Cream
482,25.0,SHARARA,M,Cream
483,26.0,SHARARA,S,Cream
484,23.0,SHARARA,XL,Cream
485,25.0,SHARARA,XXL,Cream
486,28.0,SHARARA,L,Black
487,30.0,SHARARA,M,Black
488,34.0,SHARARA,S,Black
489,32.0,SHARARA,XL,Black
490,35.0,SHARARA,XXL,Black
491,32.0,SHARARA,L,Pink
492,27.0,SHARARA,M,Pink
493,42.0,SHARARA,S,Pink
494,37.0,SHARARA,XL,Pink
495,36.0,SHARARA,XXL,Pink
496,17.0,SHARARA,L,Red
497,34.0,SHARARA,M,Red
498,41.0,SHARARA,S,Red
499,36.0,SHARARA,XL,Red
500,39.0,SHARARA,XXL,Red
501,31.0,SKIRT,L,Black
502,35.0,SKIRT,M,Black
503,37.0,SKIRT,S,Black
504,36.0,SKIRT,XL,Black
505,38.0,SKIRT,XXL,Black
506,31.0,SKIRT,L,OFF WHITE
507,33.0,SKIRT,M,OFF WHITE
508,36.0,SKIRT,S,OFF WHITE
509,36.0,SKIRT,XL,OFF WHITE
510,36.0,SKIRT,XXL,OFF WHITE
511,21.0,SHARARA,L,Black
512,31.0,SHARARA,M,Black
513,32.0,SHARARA,S,Black
514,31.0,SHARARA,XL,Black
515,31.0,SHARARA,XXL,Black
516,30.0,SHARARA,L,Navy Blue
517,30.0,SHARARA,M,Navy Blue
518,31.0,SHARARA,S,Navy Blue
519,33.0,SHARARA,XL,Navy Blue
520,31.0,SHARARA,XXL,Navy Blue
521,26.0,SHARARA,L,Cream
522,28.0,SHARARA,M,Cream
523,33.0,SHARARA,S,Cream
524,30.0,SHARARA,XL,Cream
525,30.0,SHARARA,XXL,Cream
526,29.0,SKIRT,L,OFF WHITE
527,32.0,SKIRT,M,OFF WHITE
528,34.0,SKIRT,S,OFF WHITE
529,32.0,SKIRT,XL,OFF WHITE
530,34.0,SKIRT,XXL,OFF WHITE
531,33.0,SKIRT,L,Black
532,30.0,SKIRT,M,Black
533,34.0,SKIRT,S,Black
534,33.0,SKIRT,XL,Black
535,33.0,SKIRT,XXL,Black
536,3.0,AN : LEGGINGS,L,Red
537,3.0,AN : LEGGINGS,M,Red
538,6.0,AN : LEGGINGS,S,Red
539,4.0,AN : LEGGINGS,XL,Red
540,2.0,AN : LEGGINGS,XXL,Red
541,3.0,AN : LEGGINGS,L,Orange
542,8.0,AN : LEGGINGS,M,Orange
543,7.0,AN : LEGGINGS,S,Orange
544,5.0,AN : LEGGINGS,XL,Orange
545,3.0,AN : LEGGINGS,XXL,Orange
547,6.0,AN : LEGGINGS,L,Maroon
548,4.0,AN : LEGGINGS,M,Maroon
549,2.0,AN : LEGGINGS,S,Maroon
550,3.0,AN : LEGGINGS,XL,Maroon
551,2.0,AN : LEGGINGS,XXL,Maroon
552,3.0,AN : LEGGINGS,L,Purple
553,3.0,AN : LEGGINGS,M,Purple
554,5.0,AN : LEGGINGS,S,Purple
555,2.0,AN : LEGGINGS,XL,Purple
556,2.0,AN : LEGGINGS,XXL,Purple
557,3.0,AN : LEGGINGS,L,Yellow
558,4.0,AN : LEGGINGS,M,Yellow
559,12.0,AN : LEGGINGS,S,Yellow
560,5.0,AN : LEGGINGS,XL,Yellow
561,2.0,AN : LEGGINGS,XXL,Yellow
562,5.0,AN : LEGGINGS,L,Green
563,6.0,AN : LEGGINGS,M,Green
564,10.0,AN : LEGGINGS,S,Green
565,5.0,AN : LEGGINGS,XL,Green
566,2.0,AN : LEGGINGS,XXL,Green
567,3.0,AN : LEGGINGS,L,Pink
568,3.0,AN : LEGGINGS,M,Pink
569,5.0,AN : LEGGINGS,S,Pink
570,2.0,AN : LEGGINGS,XL,Pink
571,2.0,AN : LEGGINGS,XXL,Pink
572,7.0,AN : LEGGINGS,L,Mustard
573,13.0,AN : LEGGINGS,M,Mustard
574,7.0,AN : LEGGINGS,S,Mustard
575,4.0,AN : LEGGINGS,XL,Mustard
576,4.0,AN : LEGGINGS,XXL,Mustard
577,3.0,AN : LEGGINGS,L,Beige
578,3.0,AN : LEGGINGS,M,Beige
579,4.0,AN : LEGGINGS,S,Beige
580,4.0,AN : LEGGINGS,XL,Beige
581,2.0,AN : LEGGINGS,XXL,Beige
582,2.0,AN : LEGGINGS,L,Navy Blue
583,4.0,AN : LEGGINGS,M,Navy Blue
584,3.0,AN : LEGGINGS,S,Navy Blue
585,2.0,AN : LEGGINGS,XL,Navy Blue
586,3.0,AN : LEGGINGS,XXL,Navy Blue
587,2.0,AN : LEGGINGS,L,Black
588,5.0,AN : LEGGINGS,M,Black
589,3.0,AN : LEGGINGS,S,Black
590,3.0,AN : LEGGINGS,XL,Black
591,1.0,AN : LEGGINGS,XXL,Black
592,2.0,AN : LEGGINGS,L,White
593,2.0,AN : LEGGINGS,M,White
594,2.0,AN : LEGGINGS,S,White
595,2.0,AN : LEGGINGS,XL,White
596,1.0,AN : LEGGINGS,XXL,White
597,4.0,AN : LEGGINGS,L,Brown
598,4.0,AN : LEGGINGS,M,Brown
599,4.0,AN : LEGGINGS,S,Brown
600,3.0,AN : LEGGINGS,XL,Brown
601,3.0,AN : LEGGINGS,XXL,Brown
602,2.0,DRESS,L,Pink
603,19.0,DRESS,M,Pink
604,9.0,DRESS,S,Pink
605,26.0,DRESS,XL,Pink
606,42.0,DRESS,XS,Pink
607,20.0,DRESS,XXL,Pink
608,14.0,DRESS,XXXL,Pink
609,93.0,KURTA SET,L,Peach
610,82.0,KURTA SET,M,Peach
611,165.0,KURTA SET,S,Peach
612,62.0,KURTA SET,XL,Peach
613,97.0,KURTA SET,XS,Peach
614,73.0,KURTA SET,XXL,Peach
615,7.0,KURTA SET,XXXL,Peach
616,3.0,KURTA SET,L,Mustard
617,7.0,KURTA SET,M,Mustard
618,9.0,KURTA SET,S,Mustard
619,5.0,KURTA SET,XL,Mustard
620,13.0,KURTA SET,XS,Mustard
621,3.0,KURTA SET,XXL,Mustard
622,9.0,KURTA SET,XXXL,Mustard
623,57.0,KURTA SET,L,Grey
624,61.0,KURTA SET,M,Grey
625,58.0,KURTA SET,S,Grey
626,18.0,KURTA SET,XL,Grey
627,53.0,KURTA SET,XS,Grey
628,11.0,KURTA SET,XXL,Grey
629,33.0,KURTA SET,XXXL,Grey
630,20.0,DRESS,L,Light Green
631,49.0,DRESS,M,Light Green
632,29.0,DRESS,S,Light Green
633,31.0,DRESS,XL,Light Green
634,45.0,DRESS,XS,Light Green
635,30.0,DRESS,XXL,Light Green
636,73.0,DRESS,XXXL,Light Green
637,132.0,DRESS,L,Mustard
638,86.0,DRESS,M,Mustard
639,51.0,DRESS,S,Mustard
640,23.0,DRESS,XL,Mustard
641,149.0,DRESS,XS,Mustard
642,35.0,DRESS,XXL,Mustard
643,33.0,DRESS,XXXL,Mustard
644,11.0,KURTA SET,L,Red
645,6.0,KURTA SET,M,Red
646,31.0,KURTA SET,S,Red
647,13.0,KURTA SET,XL,Red
648,89.0,KURTA SET,XS,Red
649,19.0,KURTA SET,XXL,Red
650,45.0,KURTA SET,XXXL,Red
651,89.0,KURTA SET,L,Mustard
652,29.0,KURTA SET,M,Mustard
653,171.0,KURTA SET,S,Mustard
654,318.0,KURTA SET,XL,Mustard
655,161.0,KURTA SET,XS,Mustard
656,28.0,KURTA SET,XXL,Mustard
657,51.0,KURTA SET,XXXL,Mustard
658,30.0,KURTA SET,L,Pink
659,88.0,KURTA SET,M,Pink
660,44.0,KURTA SET,S,Pink
661,34.0,KURTA SET,XL,Pink
662,64.0,KURTA SET,XS,Pink
663,13.0,KURTA SET,XXL,Pink
